game_id,total_rounds,player_id,player_name,strategy,won_game,final_score,rounds_played,rounds_won,flip_7_count,bust_count,cards_drawn,avg_round_score,winning_strategy
086b475f-b31c-4d67-9da1-d64a474aed55,11,acca07aa-fdec-4fc6-b17f-98ac4e2a1c3f,Player_1_Random_50,Random_50,0,77,11,0,0,1,18,7.0,Threshold_25
086b475f-b31c-4d67-9da1-d64a474aed55,11,bc2ef26e-a15a-44c9-a938-9644bf5f5dcd,Player_2_Threshold_30,Threshold_30,0,126,11,3,0,6,42,11.45,Threshold_25
086b475f-b31c-4d67-9da1-d64a474aed55,11,694affa1-6ff6-4705-a585-30725e549ab6,Player_3_Threshold_21,Threshold_21,0,226,11,4,0,3,37,20.55,Threshold_25
086b475f-b31c-4d67-9da1-d64a474aed55,11,999dc843-053a-4324-aae8-cb893e2215a6,Player_4_Threshold_25,Threshold_25,1,234,11,4,0,4,46,21.27,Threshold_25
7cda16bd-56a3-4679-bbeb-719953ec752d,8,94ba98f0-7f02-4be3-8816-e32cffcc3f2f,Player_1_Threshold_21,Threshold_21,0,180,8,2,0,1,23,22.5,Threshold_25
7cda16bd-56a3-4679-bbeb-719953ec752d,8,57b829e3-e792-4273-8155-a4379714daf0,Player_2_Random_50,Random_50,0,18,8,0,0,1,9,2.25,Threshold_25
7cda16bd-56a3-4679-bbeb-719953ec752d,8,f6aa4ff5-b073-44a0-b3fe-ac9ea95c8b91,Player_3_Threshold_25,Threshold_25,1,203,8,3,0,0,28,25.38,Threshold_25
7cda16bd-56a3-4679-bbeb-719953ec752d,8,f9b475c7-7d2a-4cba-ae76-f063fe70ae98,Player_4_Threshold_30,Threshold_30,0,163,8,3,0,3,37,20.38,Threshold_25
98e405d8-e8d5-4730-8534-9937bea60fb7,9,80f979c3-063f-472d-b7a1-4ebcca154293,Player_1_Threshold_30,Threshold_30,0,191,9,4,0,2,32,21.22,Threshold_21
98e405d8-e8d5-4730-8534-9937bea60fb7,9,b48a8934-6fd9-4243-acba-4ffe4cd6bb20,Player_2_Random_50,Random_50,0,40,9,0,0,0,6,4.44,Threshold_21
98e405d8-e8d5-4730-8534-9937bea60fb7,9,1acf6235-3b13-47bf-bff8-cb025184b300,Player_3_Threshold_25,Threshold_25,0,134,9,2,0,4,29,14.89,Threshold_21
98e405d8-e8d5-4730-8534-9937bea60fb7,9,5572e933-4275-44be-9f79-17d5eb64aa4c,Player_4_Threshold_21,Threshold_21,1,201,9,3,0,1,30,22.33,Threshold_21
b8fb0d8f-dad3-4995-b652-d8205073b1b9,11,fc6c2545-26fb-4a55-b762-3efda45e77cc,Player_1_Threshold_21,Threshold_21,1,258,11,3,1,2,44,23.45,Threshold_21
b8fb0d8f-dad3-4995-b652-d8205073b1b9,11,a2226f9e-7511-4b3c-80a4-ebb0a4b0045c,Player_2_Random_50,Random_50,0,91,11,0,0,0,11,8.27,Threshold_21
b8fb0d8f-dad3-4995-b652-d8205073b1b9,11,3dee96e8-ee74-4ea3-a3f2-de218da3452f,Player_3_Threshold_25,Threshold_25,0,182,11,3,1,6,36,16.55,Threshold_21
b8fb0d8f-dad3-4995-b652-d8205073b1b9,11,1a7c990f-64ef-4c93-b2d1-3efe4cde6556,Player_4_Threshold_30,Threshold_30,0,171,11,5,0,6,49,15.55,Threshold_21
2107e767-dd5c-41b9-97e9-d6b9800466c1,11,f9f2afaf-8d32-49c3-ac81-bddcf69fcb0d,Player_1_Threshold_30,Threshold_30,1,204,11,4,0,5,46,18.55,Threshold_30
2107e767-dd5c-41b9-97e9-d6b9800466c1,11,e2cd27ab-abb2-45de-b108-2018606d92bb,Player_2_Random_50,Random_50,0,38,11,1,0,0,5,3.45,Threshold_30
2107e767-dd5c-41b9-97e9-d6b9800466c1,11,bbd110cd-41d0-41fd-88bf-fe2055049b44,Player_3_Threshold_21,Threshold_21,0,99,11,2,0,7,41,9.0,Threshold_30
2107e767-dd5c-41b9-97e9-d6b9800466c1,11,91462ad1-320d-4d3c-9af1-388cf34a87e3,Player_4_Threshold_25,Threshold_25,0,173,11,4,0,2,30,15.73,Threshold_30
c6a61869-596b-481d-a894-7d22646ea822,6,89dd45f2-58f7-48cb-908a-2b0ea8dc2410,Player_1_Random_50,Random_50,0,37,6,0,0,0,7,6.17,Threshold_30
c6a61869-596b-481d-a894-7d22646ea822,6,5b287857-1a18-429a-b3ae-a92c561b1de8,Player_2_Threshold_30,Threshold_30,1,219,6,6,0,0,28,36.5,Threshold_30
c6a61869-596b-481d-a894-7d22646ea822,6,b62c42b3-845c-40f8-8d96-f771568ebc7c,Player_3_Threshold_21,Threshold_21,0,32,6,0,0,3,13,5.33,Threshold_30
c6a61869-596b-481d-a894-7d22646ea822,6,f8a03c88-8c80-41a4-ab03-5185faa497f2,Player_4_Threshold_25,Threshold_25,0,150,6,0,0,2,24,25.0,Threshold_30
40d5d3e7-27b9-4788-8683-a14f0d1db8e7,7,ff32aa13-4a07-4d96-83c8-9687a38f98d4,Player_1_Threshold_25,Threshold_25,1,225,7,4,0,1,24,32.14,Threshold_25
40d5d3e7-27b9-4788-8683-a14f0d1db8e7,7,4eb60c41-177f-4c70-92c0-d77f70c2daef,Player_2_Random_50,Random_50,0,0,7,0,0,1,2,0.0,Threshold_25
40d5d3e7-27b9-4788-8683-a14f0d1db8e7,7,908792c9-7dab-4b1f-996c-a433090d0c45,Player_3_Threshold_30,Threshold_30,0,97,7,3,0,4,34,13.86,Threshold_25
40d5d3e7-27b9-4788-8683-a14f0d1db8e7,7,a2e8021e-b457-427f-b2c9-c1788bc8a262,Player_4_Threshold_21,Threshold_21,0,151,7,0,0,1,25,21.57,Threshold_25
8b8c30fa-8e4b-444c-b5cf-a0f3c173d8c3,10,868bcac0-a633-4f5d-852f-8ff965fc3501,Player_1_Random_50,Random_50,0,131,10,2,0,0,16,13.1,Threshold_30
8b8c30fa-8e4b-444c-b5cf-a0f3c173d8c3,10,39588ea2-841f-4269-98e5-b96a0b8a300e,Player_2_Threshold_30,Threshold_30,1,206,10,4,0,3,40,20.6,Threshold_30
8b8c30fa-8e4b-444c-b5cf-a0f3c173d8c3,10,d203cd05-922c-4f51-a337-1db53e1b0935,Player_3_Threshold_21,Threshold_21,0,163,10,2,0,2,28,16.3,Threshold_30
8b8c30fa-8e4b-444c-b5cf-a0f3c173d8c3,10,198c92e3-40c3-4098-bd08-2c3aab8d3907,Player_4_Threshold_25,Threshold_25,0,195,10,2,0,3,36,19.5,Threshold_30
71fcc578-332a-4ead-af95-45896dcd2027,8,70d1e6dc-b9d5-4629-bf6e-4d059ee8b478,Player_1_Threshold_25,Threshold_25,0,161,8,3,0,2,27,20.12,Threshold_21
71fcc578-332a-4ead-af95-45896dcd2027,8,f6dfb86a-aaa6-4264-a5e5-c6c8861e33d8,Player_2_Threshold_21,Threshold_21,1,214,8,3,0,0,33,26.75,Threshold_21
71fcc578-332a-4ead-af95-45896dcd2027,8,dca9ed01-a7d1-451e-baa4-c0060d76981a,Player_3_Threshold_30,Threshold_30,0,154,8,2,0,3,35,19.25,Threshold_21
71fcc578-332a-4ead-af95-45896dcd2027,8,416fe7a7-0c13-4e0c-a55e-1c22412bc2ee,Player_4_Random_50,Random_50,0,40,8,0,0,1,6,5.0,Threshold_21
07973cf3-004c-48da-9360-69beda37dbf4,9,061a957c-22aa-4122-a20f-ac819c593fa0,Player_1_Threshold_30,Threshold_30,1,209,9,4,0,2,37,23.22,Threshold_30
